No_of_Packet,Price_per_Packet,IDNo,Brand,Days_between_Purchase,Age,SEC,Income,Household_Sz,Price_Conscious,Education,Loyalty
1,1,1,4,11,2,5,1,2,1,2,1
1,1,1,4,24,2,5,1,2,1,2,1
1,1,1,4,22,2,5,1,2,1,2,1
1,1,1,4,24,2,5,1,2,1,2,1
1,2,1,9,11,2,5,1,2,1,2,2
1,1,1,4,10,2,5,1,2,1,2,2
1,1,1,9,12,2,5,1,2,1,2,2
1,1,1,9,13,2,5,1,2,1,2,1
1,1,1,4,24,2,5,1,2,1,2,2
1,2,1,9,4,2,5,1,2,1,2,2
1,2,1,2,15,2,5,1,2,1,2,2
1,2,1,9,28,2,5,1,2,1,2,2
1,1,1,4,11,2,5,1,2,1,2,2
1,1,1,4,24,2,5,1,2,1,2,1
1,1,1,4,12,2,5,1,2,1,2,1
1,1,1,4,16,2,5,1,2,1,2,1
1,1,1,4,10,2,5,1,2,1,2,1
1,1,1,9,13,2,5,1,2,1,2,2
1,1,1,4,15,2,5,1,2,1,2,2
1,2,1,9,30,2,5,1,2,1,2,2
1,1,1,9,14,2,5,1,2,1,2,1
1,2,1,9,25,2,5,1,2,1,2,1
1,2,1,9,11,2,5,1,2,1,2,1
1,2,1,4,17,2,5,1,2,1,2,2
1,2,1,9,11,2,5,1,2,1,2,2
1,2,1,9,11,2,5,1,2,1,2,1
1,2,1,9,15,2,5,1,2,1,2,1
1,2,1,9,20,2,5,1,2,1,2,1
1,2,1,9,3,2,5,1,2,1,2,1
1,2,1,9,28,2,5,1,2,1,2,1
1,2,1,4,15,2,5,1,2,1,2,2
1,2,1,9,7,2,5,1,2,1,2,2
1,2,1,9,11,2,5,1,2,1,2,1
1,1,1,4,20,2,5,1,2,1,2,2
1,1,1,9,17,2,5,1,2,1,2,2
1,1,1,4,7,2,5,1,2,1,2,2
1,2,1,9,7,2,5,1,2,1,2,2
1,1,1,4,12,2,5,1,2,1,2,2
1,1,1,4,9,2,5,1,2,1,2,1
1,1,1,4,14,2,5,1,2,1,2,1
1,1,1,4,6,2,5,1,2,1,2,1
1,2,1,9,1,2,5,1,2,1,2,2
1,2,1,9,29,2,5,1,2,1,2,1
1,2,1,9,10,2,5,1,2,1,2,1
1,2,1,9,16,2,5,1,2,1,2,1
1,1,1,4,12,2,5,1,2,1,2,2
1,1,1,4,30,2,5,1,2,1,2,1
1,1,1,4,16,2,5,1,2,1,2,1
1,2,1,9,6,2,5,1,2,1,2,2
1,1,1,4,5,2,5,1,2,1,2,2
1,1,1,9,9,2,5,1,2,1,2,2
1,1,1,9,4,2,5,1,2,1,2,1
1,1,1,4,9,2,5,1,2,1,2,2
1,1,1,4,7,2,5,1,2,1,2,1
1,1,1,4,7,2,5,1,2,1,2,1
1,1,1,4,3,2,5,1,2,1,2,1
1,2,1,9,6,2,5,1,2,1,2,2
1,1,1,4,5,2,5,1,2,1,2,2
1,1,1,4,6,2,5,1,2,1,2,1
1,1,1,9,2,2,5,1,2,1,2,2
1,1,1,4,4,2,5,1,2,1,2,2
1,1,1,4,6,2,5,1,2,1,2,1
1,1,1,4,4,4,5,1,2,1,3,1
1,1,1,4,7,4,5,1,2,1,3,1
1,1,1,4,4,4,5,1,2,1,3,1
1,1,1,4,2,4,5,1,2,1,3,1
1,1,1,9,8,4,5,1,2,1,3,2
1,1,1,4,4,4,5,1,2,1,3,2
1,1,1,4,4,4,5,1,2,1,3,1
1,1,1,9,6,4,5,1,2,1,3,2
1,1,1,4,8,4,5,1,2,1,3,2
1,1,1,9,3,4,5,1,2,1,3,2
1,1,1,9,7,4,5,1,2,1,3,1
1,1,1,9,6,4,5,1,2,1,3,1
1,1,1,4,3,4,5,1,2,1,3,2
1,1,1,9,6,4,5,1,2,1,3,2
1,1,1,9,8,4,5,1,2,1,3,1
1,1,1,9,6,4,5,1,2,1,3,1
1,1,1,9,2,4,5,1,2,1,3,1
1,1,1,4,7,4,5,1,2,1,3,2
1,1,1,4,11,4,5,1,2,1,3,1
1,1,1,4,6,4,5,1,2,1,3,1
1,1,1,9,4,4,5,1,2,1,3,2
1,1,1,4,6,4,5,1,2,1,3,2
1,1,1,4,8,4,5,1,2,1,3,1
1,1,1,9,3,4,5,1,2,1,3,2
2,1,1,4,9,4,5,1,2,1,3,2
1,1,1,4,6,4,5,1,2,1,3,1
1,1,1,9,7,4,5,1,2,1,3,2
1,1,1,9,8,4,5,1,2,1,3,1
1,1,1,9,6,4,5,1,2,1,3,1
1,1,1,9,7,4,5,1,2,1,3,1
1,1,1,4,7,4,5,1,2,1,3,2
1,2,1,9,3,4,5,1,2,1,3,2
1,1,1,9,8,4,5,1,2,1,3,1
1,1,1,4,10,4,5,1,2,1,3,2
1,1,1,9,5,4,5,1,2,1,3,2
1,1,1,4,9,4,5,1,2,1,3,2
1,1,1,4,14,4,5,1,2,1,3,1
2,2,8,8,13,2,2,3,4,4,3,1
1,2,8,8,98,2,2,3,4,4,3,1
1,2,8,8,39,2,2,3,4,4,3,1
2,2,8,8,41,2,2,3,4,4,3,1
1,2,8,8,71,2,2,3,4,4,3,1
1,2,8,8,14,2,2,3,4,4,3,1
2,2,8,8,38,2,2,3,4,4,3,1
1,2,8,8,48,2,2,3,4,4,3,1
1,2,8,8,15,2,2,3,4,4,3,1
1,2,8,8,18,2,2,3,4,4,3,1
2,2,8,8,32,2,2,3,4,4,3,1
2,2,8,8,19,2,2,3,4,4,3,1
1,2,8,8,10,2,2,3,4,4,3,1
2,2,8,8,10,2,2,3,4,4,3,1
1,2,8,1,19,2,2,3,4,4,3,2
1,2,8,8,11,2,2,3,4,4,3,2
3,1,8,8,3,2,2,3,4,4,3,1
3,1,8,8,28,2,2,3,4,4,3,1
1,1,8,4,28,2,2,3,4,4,3,2
1,1,8,8,16,2,2,3,4,4,3,2
2,1,8,8,3,2,2,3,4,4,3,1
2,1,8,9,78,2,2,3,4,4,3,2
1,2,8,8,9,2,2,3,4,4,3,2
2,1,8,7,16,2,2,3,4,4,3,2
1,2,8,7,11,2,2,3,4,4,3,1
1,2,8,8,15,2,2,3,4,4,3,2
1,2,8,6,34,2,2,3,4,4,3,2
1,2,8,8,29,2,2,3,4,4,3,2
1,2,8,8,38,2,2,3,4,4,3,1
1,2,8,8,15,2,2,3,4,4,3,1
1,2,8,8,20,2,2,3,4,4,3,1
1,3,14,9,24,2,1,4,4,4,3,2
1,3,14,9,598,2,1,4,4,4,3,1
1,3,14,9,77,2,1,4,4,4,3,1
1,2,14,9,35,2,1,4,4,4,3,1
1,2,14,1,193,2,1,4,4,4,3,2
1,2,14,9,73,2,1,4,4,4,3,2
1,2,17,1,57,4,4,2,1,1,2,2
1,2,17,1,29,4,4,2,1,1,2,1
2,2,17,6,27,4,4,2,1,1,2,2
2,2,17,9,21,4,4,2,1,1,2,2
3,2,17,9,13,4,4,2,1,1,2,1
1,2,17,9,19,4,4,2,1,1,2,1
2,2,17,1,35,4,4,2,1,1,2,2
2,2,17,1,7,4,4,2,1,1,2,1
2,2,17,9,7,4,4,2,1,1,2,2
2,2,17,1,41,4,4,2,1,1,2,2
2,2,17,1,66,4,4,2,1,1,2,1
1,2,17,9,13,4,4,2,1,1,2,2
2,2,17,1,74,4,4,2,1,1,2,2
1,2,17,9,35,4,4,2,1,1,2,2
1,2,17,1,35,4,4,2,1,1,2,2
1,2,17,2,103,4,4,2,1,1,2,2
1,2,17,9,65,4,4,2,1,1,2,2
1,2,17,9,17,4,4,2,1,1,2,1
2,2,17,1,21,4,4,2,1,1,2,2
3,1,17,1,79,4,4,2,1,1,2,1
1,3,20,7,15,3,4,2,2,1,3,1
1,2,20,7,7,3,4,2,2,1,3,1
1,2,20,6,14,3,4,2,2,1,3,2
